Date,Time,Description,Trigger,Inv kW Sum (kW),Load kW Sum (kW),Solar kW (kW),Ambient Temp (C),Solar Radiation (W/m2),Inv Exp kWh,Inv Imp kWh,Src A Exp kWh,Src A Imp kWh,Src B Exp kWh,Src B Imp kWh,Site kWh (calc),Batt Exp kWh,Batt Imp kWh,Solar kWh,DNI,norm DNI,calls norm DNI,Inv kW Sum (kW)_lag,Load kW Sum (kW)_lag,Solar kW (kW)_lag,Ambient Temp (C)_lag,Solar Radiation (W/m2)_lag,Inv Exp kWh_lag,Inv Imp kWh_lag,Src A Exp kWh_lag,Src A Imp kWh_lag,Src B Exp kWh_lag,Src B Imp kWh_lag,Site kWh (calc)_lag,Batt Exp kWh_lag,Batt Imp kWh_lag,Solar kWh_lag,Inv kW Sum (kW)_lag1,Inv kW Sum (kW)_lag2,Inv kW Sum (kW)_lag3,Load kW Sum (kW)_lag1,Load kW Sum (kW)_lag2,Load kW Sum (kW)_lag3,Solar kW (kW)_lag1,Solar kW (kW)_lag2,Solar kW (kW)_lag3,Ambient Temp (C)_lag1,Ambient Temp (C)_lag2,Ambient Temp (C)_lag3,Solar Radiation (W/m2)_lag1,Solar Radiation (W/m2)_lag2,Solar Radiation (W/m2)_lag3,Inv Exp kWh_lag1,Inv Exp kWh_lag2,Inv Exp kWh_lag3,Inv Imp kWh_lag1,Inv Imp kWh_lag2,Inv Imp kWh_lag3,Src A Exp kWh_lag1,Src A Exp kWh_lag2,Src A Exp kWh_lag3,Src A Imp kWh_lag1,Src A Imp kWh_lag2,Src A Imp kWh_lag3,Src B Exp kWh_lag1,Src B Exp kWh_lag2,Src B Exp kWh_lag3,Src B Imp kWh_lag1,Src B Imp kWh_lag2,Src B Imp kWh_lag3,Site kWh (calc)_lag1,Site kWh (calc)_lag2,Site kWh (calc)_lag3,Batt Exp kWh_lag1,Batt Exp kWh_lag2,Batt Exp kWh_lag3,Batt Imp kWh_lag1,Batt Imp kWh_lag2,Batt Imp kWh_lag3,Solar kWh_lag1,Solar kWh_lag2,Solar kWh_lag3
2022-08-01,06.40.11.18,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.6,0.0,31.5,37.0,187718.5,56365.3,45730.4,284417.6,0.0,0.0,370344.6,16764.6,76157.5,211881.1,6.166666666666666,0.0259831460674157,Inspecting,-0.3,0.6,0.0,31.5,31.0,187718.5,56365.2,45730.4,284417.5,0.0,0.0,370344.5,16764.5,76157.5,211881.1,-0.3,-0.3,-0.3,0.6,0.5,0.3,0.0,0.0,0.0,31.5,31.5,31.6,31.0,26.0,25.0,187718.5,187718.5,187718.5,56365.2,56365.2,56365.1,45730.4,45730.4,45730.4,284417.5,284417.3,284417.2,0.0,0.0,0.0,0.0,0.0,0.0,370344.5,370344.4,370344.4,16764.5,16764.5,16764.4,76157.5,76157.5,76157.5,211881.1,211881.1,211881.1
2022-08-02,06.31.23.48,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.1,0.0,30.6,35.0,187765.5,56369.7,45740.4,284449.8,0.0,0.0,370409.3,16770.1,76162.3,211945.1,5.833333333333333,0.0245786516853932,Inspecting,-0.3,0.1,0.0,30.6,34.0,187765.5,56369.7,45740.4,284449.8,0.0,0.0,370409.3,16770.1,76162.3,211945.1,-0.3,-0.3,-0.3,0.1,0.1,0.3,0.0,0.0,0.0,30.6,30.5,30.4,34.0,27.0,25.0,187765.5,187765.5,187765.5,56369.7,56369.7,56369.6,45740.4,45740.4,45740.4,284449.8,284449.8,284449.7,0.0,0.0,0.0,0.0,0.0,0.0,370409.3,370409.3,370409.2,16770.1,16770.0,16770.0,76162.3,76162.3,76162.3,211945.1,211945.1,211945.1
2022-08-03,06.53.05.44,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.2,0.0,31.4,36.0,187815.5,56374.2,45752.6,284477.7,0.0,0.0,370470.6,16775.7,76166.9,212011.8,6.0,0.0252808988764044,Inspecting,-0.3,0.3,0.0,31.4,32.0,187815.5,56374.2,45752.6,284477.7,0.0,0.0,370470.6,16775.7,76166.9,212011.8,-0.3,-0.3,-0.3,0.3,0.3,0.4,0.0,0.0,0.0,31.4,31.4,31.2,32.0,29.0,27.0,187815.5,187815.5,187815.5,56374.2,56374.1,56374.1,45752.6,45752.6,45752.6,284477.7,284477.5,284477.4,0.0,0.0,0.0,0.0,0.0,0.0,370470.6,370470.5,370470.4,16775.7,16775.6,16775.6,76166.9,76166.9,76166.9,212011.8,212011.8,212011.8
2022-08-04,06.33.50.93,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.4,0.0,30.5,36.0,187849.2,56379.2,45754.5,284522.0,0.0,0.0,370541.6,16782.0,76172.1,212061.7,6.0,0.0252808988764044,Inspecting,-0.3,0.7,0.0,30.5,32.0,187849.2,56379.2,45754.5,284521.9,0.0,0.0,370541.5,16782.0,76172.1,212061.7,-0.3,-0.3,-0.3,0.7,0.6,0.9,0.0,0.0,0.0,30.5,30.5,30.5,32.0,26.0,24.0,187849.2,187849.2,187849.2,56379.2,56379.1,56379.1,45754.5,45754.5,45754.5,284521.9,284521.8,284521.6,0.0,0.0,0.0,0.0,0.0,0.0,370541.5,370541.4,370541.3,16782.0,16781.9,16781.9,76172.1,76172.1,76172.1,212061.7,212061.7,212061.7
2022-08-05,01.12.19.20,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.8,0.0,31.5,24.0,187879.9,56382.6,45758.1,284546.6,0.0,0.0,370590.0,16785.3,76177.4,212109.3,4.0,0.0168539325842696,Inspecting,-0.3,0.9,0.0,31.5,24.0,187879.9,56382.6,45758.1,284546.5,0.0,0.0,370589.9,16785.2,76177.4,212109.3,-0.3,-0.3,-0.3,0.9,0.7,0.9,0.0,0.0,0.0,31.5,31.6,31.4,24.0,24.0,24.0,187879.9,187879.9,187879.9,56382.6,56382.5,56382.5,45758.1,45758.1,45758.1,284546.5,284546.3,284546.1,0.0,0.0,0.0,0.0,0.0,0.0,370589.9,370589.8,370589.6,16785.2,16785.2,16785.1,76177.4,76177.4,76177.4,212109.3,212109.3,212109.3
2022-08-06,06.41.07.97,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.4,0.2,0.0,32.1,36.0,187924.2,56389.0,45761.5,284585.1,0.0,0.0,370662.8,16795.0,76183.3,212169.8,6.0,0.0252808988764044,Inspecting,-0.3,0.2,0.0,32.2,30.0,187924.2,56389.0,45761.5,284585.0,0.0,0.0,370662.8,16795.0,76183.3,212169.8,-0.3,-0.3,-0.2,0.2,0.3,0.8,0.0,0.0,0.0,32.2,32.2,32.1,30.0,27.0,25.0,187924.2,187924.2,187924.2,56389.0,56389.0,56388.9,45761.5,45761.5,45761.5,284585.0,284584.9,284584.8,0.0,0.0,0.0,0.0,0.0,0.0,370662.8,370662.7,370662.7,16795.0,16794.9,16794.8,76183.3,76183.3,76183.3,212169.8,212169.8,212169.8
2022-08-07,06.40.35.04,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.3,0.0,31.9,37.0,187961.2,56394.0,45764.6,284614.9,0.0,0.0,370721.6,16804.0,76191.3,212223.1,6.166666666666666,0.0259831460674157,Inspecting,-0.3,0.1,0.0,31.7,34.0,187961.2,56394.0,45764.6,284614.9,0.0,0.0,370721.6,16803.9,76191.3,212223.1,-0.3,-0.3,-0.3,0.1,0.5,0.7,0.0,0.0,0.0,31.7,31.7,31.8,34.0,27.0,24.0,187961.2,187961.2,187961.2,56394.0,56393.9,56393.9,45764.6,45764.6,45764.6,284614.9,284614.8,284614.6,0.0,0.0,0.0,0.0,0.0,0.0,370721.6,370721.6,370721.5,16803.9,16803.9,16803.8,76191.3,76191.3,76191.3,212223.1,212223.1,212223.1
2022-08-08,06.33.34.68,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.2,0.0,28.7,36.0,187971.1,56400.1,45768.0,284630.1,0.0,0.0,370737.2,16811.1,76196.2,212245.3,6.0,0.0252808988764044,Inspecting,-0.3,0.2,0.0,28.7,31.0,187971.1,56400.1,45768.0,284630.0,0.0,0.0,370737.2,16811.0,76196.2,212245.3,-0.3,-0.3,-0.3,0.2,0.7,0.5,0.0,0.0,0.0,28.7,28.7,28.6,31.0,27.0,25.0,187971.1,187971.1,187971.1,56400.1,56400.1,56400.0,45768.0,45768.0,45768.0,284630.0,284629.9,284629.7,0.0,0.0,0.0,0.0,0.0,0.0,370737.2,370737.1,370736.9,16811.0,16810.9,16810.9,76196.2,76196.2,76196.2,212245.3,212245.3,212245.3
2022-08-09,12.10.09.15,Status : Solar Control Disabled,Fault Action10,0.0,1.1,0.2,37.7,1085.0,188037.9,56405.4,45782.4,284659.7,0.0,0.0,370814.1,16817.4,76204.8,212336.9,180.8333333333333,0.761938202247191,Running,-9.8,10.2,20.0,37.3,1113.0,188037.9,56405.4,45782.4,284659.7,0.0,0.0,370814.0,16817.4,76204.8,212336.8,-9.8,1.9,0.8,10.2,1.7,0.9,20.0,3.2,2.1,37.3,37.7,40.0,1113.0,270.0,977.0,188037.9,188037.7,188036.9,56405.4,56405.4,56405.4,45782.4,45782.3,45782.0,284659.7,284659.7,284659.7,0.0,0.0,0.0,0.0,0.0,0.0,370814.0,370813.9,370813.4,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212336.8,212336.5,212335.5
2022-08-09,12.17.26.04,Status : Solar Control Disabled,Fault Action10,0.0,1.1,0.2,37.8,1055.0,188038.5,56405.4,45782.6,284659.8,0.0,0.0,370814.4,16817.4,76204.8,212337.5,175.83333333333331,0.7408707865168539,Running,-10.0,8.5,19.8,37.5,1067.0,188038.5,56405.4,45782.6,284659.7,0.0,0.0,370814.4,16817.4,76204.8,212337.5,-10.0,3.7,-0.3,8.5,2.3,0.2,19.8,4.9,1.0,37.5,37.0,37.4,1067.0,298.0,1040.0,188038.5,188038.2,188037.9,56405.4,56405.4,56405.4,45782.6,45782.5,45782.4,284659.7,284659.7,284659.7,0.0,0.0,0.0,0.0,0.0,0.0,370814.4,370814.2,370814.1,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212337.5,212337.2,212336.9
2022-08-09,12.19.43.64,Status : Solar Control Disabled,Fault Action10,0.0,0.5,0.2,38.5,1060.0,188038.8,56405.4,45782.8,284659.8,0.0,0.0,370814.6,16817.4,76204.8,212337.9,176.66666666666666,0.7443820224719101,Running,-10.0,-3.6,17.0,38.1,1105.0,188038.8,56405.4,45782.8,284659.8,0.0,0.0,370814.6,16817.4,76204.8,212337.8,-10.0,-0.3,0.0,-3.6,0.2,1.1,17.0,1.0,0.2,38.1,37.7,37.8,1105.0,1050.0,1055.0,188038.8,188038.5,188038.5,56405.4,56405.4,56405.4,45782.8,45782.6,45782.6,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370814.6,370814.4,370814.4,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212337.8,212337.5,212337.5
2022-08-09,12.40.16.54,Status : Solar Control Disabled,Fault Action10,0.0,0.2,0.2,37.8,1066.0,188040.5,56405.4,45783.5,284659.8,0.0,0.0,370815.6,16817.4,76204.8,212339.9,177.66666666666666,0.7485955056179775,Running,-10.5,-4.4,19.4,37.2,1075.0,188040.5,56405.4,45783.5,284659.8,0.0,0.0,370815.6,16817.4,76204.8,212339.8,-10.5,2.2,1.9,-4.4,1.6,1.6,19.4,3.4,3.9,37.2,37.1,38.8,1075.0,229.0,1034.0,188040.5,188040.2,188039.7,56405.4,56405.4,56405.4,45783.5,45783.4,45783.2,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370815.6,370815.4,370815.0,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212339.8,212339.5,212338.8
2022-08-09,13.03.08.10,Status : Solar Control Disabled,Fault Action10,0.0,1.5,0.1,39.6,777.0,188043.5,56405.4,45785.2,284659.8,0.0,0.0,370816.9,16817.4,76204.8,212343.1,129.5,0.5456460674157304,Monitoring,-10.1,7.5,18.9,39.1,1230.0,188043.5,56405.4,45785.1,284659.8,0.0,0.0,370816.9,16817.4,76204.8,212343.1,-10.1,0.3,12.0,7.5,0.9,4.8,18.9,1.8,12.8,39.1,40.8,38.8,1230.0,356.0,1046.0,188043.5,188042.6,188041.4,56405.4,56405.4,56405.4,45785.1,45784.7,45784.0,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370816.9,370816.5,370815.9,16817.4,16817.4,16817.4,76204.8,76204.8,76204.8,212343.1,212342.2,212340.7
2022-08-09,14.11.09.70,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.3,39.0,1041.0,188051.9,56405.4,45789.9,284659.8,0.0,0.0,370820.5,16817.4,76204.9,212352.6,173.5,0.7310393258426967,Running,11.9,7.2,19.2,38.6,1117.0,188051.9,56405.4,45789.9,284659.8,0.0,0.0,370820.5,16817.4,76204.9,212352.6,11.9,0.3,7.5,7.2,0.8,3.6,19.2,2.1,8.0,38.6,39.2,39.5,1117.0,256.0,1093.0,188051.9,188051.5,188050.5,56405.4,56405.4,56405.4,45789.9,45789.8,45789.2,284659.8,284659.8,284659.8,0.0,0.0,0.0,0.0,0.0,0.0,370820.5,370820.4,370819.9,16817.4,16817.4,16817.4,76204.9,76204.9,76204.8,212352.6,212352.1,212350.9
2022-08-10,06.27.31.85,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.7,0.0,31.8,35.0,188071.2,56409.1,45803.2,284679.7,0.0,0.0,370842.7,16822.4,76205.0,212376.7,5.833333333333333,0.0245786516853932,Inspecting,-0.3,0.9,0.0,31.8,31.0,188071.2,56409.0,45803.2,284679.6,0.0,0.0,370842.7,16822.4,76205.0,212376.7,-0.3,-0.3,-0.3,0.9,1.3,1.2,0.0,0.0,0.0,31.8,31.7,31.8,31.0,26.0,24.0,188071.2,188071.1,188071.1,56409.0,56409.0,56408.9,45803.2,45803.2,45803.2,284679.6,284679.3,284679.0,0.0,0.0,0.0,0.0,0.0,0.0,370842.7,370842.4,370842.2,16822.4,16822.3,16822.2,76205.0,76205.0,76205.0,212376.7,212376.7,212376.7
2022-08-11,06.33.26.23,Status : Solar Control Disabled,SP99 Solar MPPT Min Chg Amps,-0.3,0.9,0.0,31.7,37.0,188135.0,56413.6,45827.7,284712.1,0.0,0.0,370910.1,16827.6,76209.4,212457.3,6.166666666666666,0.0259831460674157,Inspecting,-0.3,0.9,0.0,31.7,35.0,188135.0,56413.5,45827.7,284712.1,0.0,0.0,370910.0,16827.6,76209.4,212457.3,-0.3,-0.3,-0.3,0.9,1.1,1.1,0.0,0.0,0.0,31.7,31.7,31.7,35.0,27.0,25.0,188135.0,188135.0,188135.0,56413.5,56413.5,56413.4,45827.7,45827.7,45827.7,284712.1,284711.8,284711.6,0.0,0.0,0.0,0.0,0.0,0.0,370910.0,370909.9,370909.7,16827.6,16827.5,16827.4,76209.4,76209.4,76209.4,212457.3,212457.3,212457.3
2022-08-11,12.39.43.19,Status : Solar Control Disabled,Fault Action10,0.0,1.9,0.3,36.0,619.0,188152.4,56414.5,45837.0,284716.2,0.0,0.0,370921.1,16827.7,76212.7,212483.0,103.16666666666666,0.434691011235955,Monitoring,-11.2,7.1,20.2,35.7,927.0,188152.4,56414.5,45837.0,284716.1,0.0,0.0,370921.1,16827.7,76212.7,212482.9,-11.2,16.7,7.1,7.1,7.8,4.5,20.2,14.9,8.1,35.7,34.9,34.1,927.0,988.0,426.0,188152.4,188151.3,188149.9,56414.5,56414.5,56414.5,45837.0,45836.5,45836.0,284716.1,284716.1,284716.1,0.0,0.0,0.0,0.0,0.0,0.0,370921.1,370920.5,370919.7,16827.7,16827.7,16827.7,76212.7,76212.7,76212.7,212482.9,212481.8,212480.3
2022-08-11,12.41.14.59,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.1,36.7,1212.0,188152.5,56414.5,45837.1,284716.2,0.0,0.0,370921.2,16827.7,76212.7,212483.1,202.0,0.851123595505618,Running,10.6,5.4,18.9,36.3,1121.0,188152.5,56414.5,45837.1,284716.2,0.0,0.0,370921.2,16827.7,76212.7,212483.1,10.6,-0.3,0.0,5.4,1.6,1.9,18.9,0.7,0.3,36.3,35.6,36.0,1121.0,867.0,619.0,188152.5,188152.4,188152.4,56414.5,56414.5,56414.5,45837.1,45837.0,45837.0,284716.2,284716.2,284716.2,0.0,0.0,0.0,0.0,0.0,0.0,370921.2,370921.1,370921.1,16827.7,16827.7,16827.7,76212.7,76212.7,76212.7,212483.1,212483.0,212483.0
2022-08-11,12.43.03.70,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.2,36.5,1162.0,188152.7,56414.5,45837.2,284716.2,0.0,0.0,370921.3,16827.7,76212.8,212483.4,193.66666666666663,0.8160112359550562,Running,19.2,9.9,19.9,36.0,1215.0,188152.7,56414.5,45837.2,284716.2,0.0,0.0,370921.3,16827.7,76212.8,212483.3,19.2,2.3,0.0,9.9,2.4,0.0,19.9,2.8,0.1,36.0,36.5,36.7,1215.0,1132.0,1212.0,188152.7,188152.5,188152.5,56414.5,56414.5,56414.5,45837.2,45837.1,45837.1,284716.2,284716.2,284716.2,0.0,0.0,0.0,0.0,0.0,0.0,370921.3,370921.2,370921.2,16827.7,16827.7,16827.7,76212.8,76212.8,76212.7,212483.3,212483.2,212483.1
2022-08-11,12.56.39.80,Status : Solar Control Disabled,Fault Action10,0.0,0.0,0.3,36.5,793.0,188154.4,56414.5,45837.9,284716.2,0.0,0.0,370922.3,16827.8,76212.8,212485.3,132.16666666666666,0.5568820224719101,Monitoring,20.6,9.1,20.0,36.1,1283.0,188154.4,56414.5,45837.9,284716.2,0.0,0.0,370922.3,16827.8,76212.8,212485.2,20.6,9.2,2.5,9.1,4.8,2.7,20.0,8.4,2.2,36.1,36.4,36.5,1283.0,621.0,866.0,188154.4,188154.1,188152.7,56414.5,56414.5,56414.5,45837.9,45837.7,45837.2,284716.2,284716.2,284716.2,0.0,0.0,0.0,0.0,0.0,0.0,370922.3,370922.1,370921.3,16827.8,16827.8,16827.8,76212.8,76212.8,76212.8,212485.2,212484.8,212483.4
